Country,CountryCode,1-Jan-20,2-Jan-20,3-Jan-20,4-Jan-20,5-Jan-20,6-Jan-20,7-Jan-20,8-Jan-20,9-Jan-20,10-Jan-20,11-Jan-20,12-Jan-20,13-Jan-20,14-Jan-20,15-Jan-20,16-Jan-20,17-Jan-20,18-Jan-20,19-Jan-20,20-Jan-20,21-Jan-20,22-Jan-20,23-Jan-20,24-Jan-20,25-Jan-20,26-Jan-20,27-Jan-20,28-Jan-20,29-Jan-20,30-Jan-20,31-Jan-20,1-Feb-20,2-Feb-20,3-Feb-20,4-Feb-20,5-Feb-20,6-Feb-20,7-Feb-20,8-Feb-20,9-Feb-20,10-Feb-20,11-Feb-20,12-Feb-20,13-Feb-20,14-Feb-20,15-Feb-20,16-Feb-20,17-Feb-20,18-Feb-20,19-Feb-20,20-Feb-20,21-Feb-20,22-Feb-20,23-Feb-20,24-Feb-20,25-Feb-20,26-Feb-20,27-Feb-20,28-Feb-20,29-Feb-20,1-Mar-20,2-Mar-20,3-Mar-20,4-Mar-20,5-Mar-20,6-Mar-20,7-Mar-20,8-Mar-20,9-Mar-20,10-Mar-20,11-Mar-20,12-Mar-20,13-Mar-20,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,1-Apr-20,2-Apr-20,3-Apr-20,4-Apr-20,5-Apr-20,6-Apr-20,7-Apr-20,8-Apr-20,9-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,SUM_SevIndex,Days_Not_0,Avg_LockdownSeverity
Trinidad and Tobago,TTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,33.33000183,47.61999893,47.61999893,57.13999939,57.13999939,57.13999939,57.13999939,57.13999939,61.90000153,61.90000153,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,.,.,.,.,.,.,.,.,2828.379984,75,37.71173312
Tunisia,TUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,61.90000153,61.90000153,71.43000031,71.43000031,71.43000031,71.43000031,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,3645.21998,49,74.39224449
Turkey,TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,14.28999996,14.28999996,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,71.43000031,80.94999695,80.94999695,80.94999695,80.94999695,80.94999695,76.19000244,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,4266.539938,89,47.93865099
Taiwan,TWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,42.86000061,38.09999847,38.09999847,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,33.33000183,42.86000061,42.86000061,42.86000061,42.86000061,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,42.86000061,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,.,.,.,.,.,.,.,2785.800006,86,32.39302332
Tanzania,TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.760000229,14.28999996,4.760000229,19.04999924,33.33000183,33.33000183,33.33000183,33.33000183,47.61999893,47.61999893,47.61999893,52.38000107,59.52000046,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,45.24000168,45.24000168,45.24000168,45.24000168,45.24000168,50,50,.,.,.,.,.,.,.,.,1452.33003,32,45.38531345
Uganda,UGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,19.04999924,19.04999924,19.04999924,19.04999924,19.04999924,19.04999924,19.04999924,19.04999924,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,47.61999893,47.61999893,61.90000153,61.90000153,66.66999817,66.66999817,66.66999817,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,100,100,95.23999786,85.70999908,85.70999908,100,100,100,100,100,100,100,100,100,100,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,4228.569946,93,45.46849405
Ukraine,UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,71.43000031,71.43000031,71.43000031,71.43000031,71.43000031,85.70999908,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,95.23999786,3904.869925,50,78.09739851
Uruguay,URY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04999924,26.19000053,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,64.29000092,.,.,.,.,.,.,.,.,1973.940027,32,61.68562586
United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,14.28999996,19.04999924,19.04999924,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,33.33000183,33.33000183,42.86000061,42.86000061,42.86000061,66.66999817,66.66999817,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,76.19000244,.,.,.,.,.,3033.230081,75,40.44306774
Uzbekistan,UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,7.139999866,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,16.67000008,26.19000053,78.56999969,78.56999969,78.56999969,78.56999969,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,83.33000183,92.86000061,92.86000061,92.86000061,92.86000061,92.86000061,92.86000061,92.86000061,92.86000061,92.86000061,92.86000061,92.86000061,100,100,100,100,100,100,100,100,100,100,.,.,.,.,.,3464.220015,87,39.81862086
Venezuela,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,14.28999996,28.56999969,71.43000031,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,85.70999908,.,.,.,.,.,.,2899.939972,48,60.41541608
Vietnam,VNM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.760000229,4.760000229,4.760000229,4.760000229,19.04999924,23.80999947,23.80999947,28.56999969,28.56999969,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,57.13999939,57.13999939,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,61.90000153,66.66999817,66.66999817,80.94999695,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,.,.,.,.,.,5314.120037,83,64.02554262
South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,4.760000229,19.04999924,19.04999924,19.04999924,19.04999924,19.04999924,19.04999924,19.04999924,19.04999924,52.38000107,52.38000107,61.90000153,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,.,.,.,.,.,.,3428.500008,84,40.81547628
Zambia,ZMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,9.520000458,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,23.80999947,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,38.09999847,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,47.61999893,.,.,.,.,.,.,1580.939972,55,28.74436313
Zimbabwe,ZWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,28.56999969,52.38000107,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,100,100,100,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,88.09999847,.,.,2509.619961,34,73.81235179
