Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Cases_per_1Mpop,Deaths_per_1Mpop,Total Tests,Tests_per_1Mpop,Continent,CountryCode,Avg_LockdownSeverity,Score,Quality_Life,GDP_2018,Obesity,Elder,Social support,Freedom,Corruption,Generosity,Health
Indonesia,7418,283,635,19,913,5870,0,27,2,55732,204,Asia,IDN,43.70511111,5.192,40.0,4284.7,6.9,5.857165612999999,94.0,48.0,129.0,2.0,98.0
Colombia,4356,207,206,10,870,3280,98,86,4,68428,1345,South America,COL,37.60412995,6.125,63.0,7698.4,22.3,8.47804702,52.0,56.0,124.0,111.0,51.0
Costa Rica,681,12,6,0,180,495,6,134,1,11766,2310,North America,CRI,85.71371974,7.167000000000001,50.0,9892.64,25.7,9.549847673,42.0,16.0,58.0,75.0,28.0
Croatia,1950,42,48,0,869,1033,19,475,12,27614,6726,Europe,HRV,55.10142854,5.432,28.0,15870.3,24.4,20.44543301,79.0,118.0,139.0,81.0,32.0
Malaysia,5532,50,93,1,3452,1987,43,171,3,113755,3515,Asia,MYS,48.25577287,5.3389999999999995,31.0,12109.5,15.6,6.671754625,97.0,36.0,137.0,27.0,59.0
Dominican Republic,5300,256,260,15,581,4459,135,489,24,18261,1683,North America,DOM,57.25325589,5.425,51.0,7750.93,27.6,7.082817476000001,55.0,43.0,52.0,93.0,80.0
Cyprus,790,6,13,1,98,679,15,654,11,37081,30712,Asia,CYP,66.55095198,6.046,39.070422535211264,30926.5,21.8,13.71906177,90.0,81.0,115.0,39.0,6.0
Finland,4129,115,149,8,2000,1980,63,745,27,68552,12372,Europe,FIN,68.94227496,7.769,6.0,48579.9,22.2,21.72078755,2.0,5.0,4.0,47.0,27.0
Egypt,3659,169,276,12,935,2448,0,36,3,55000,537,Africa,EGY,87.25918795,4.166,75.0,2907.3,32.0,9.8300171986422,118.0,129.0,89.0,132.0,101.0
Luxembourg,3654,36,80,2,711,2863,32,5837,128,36087,57649,Europe,LUX,66.99790476,7.09,14.0,107243.2,22.6,14.18315418,27.0,28.0,9.0,30.0,16.0
Morocco,3446,237,149,4,417,2880,1,93,4,19885,539,Africa,MAR,66.4815382,5.207999999999999,57.0,3357.4,26.1,7.012904821,139.0,76.0,84.0,154.0,79.0
El Salvador,237,12,7,0,63,167,3,37,1,14375,2216,North America,SLV,49.36399981,6.252999999999999,39.070422535211264,3511.36,24.6,8.287090005,83.0,74.0,85.0,134.0,75.0
Estonia,1559,7,44,1,184,1331,7,1175,33,43637,32895,Europe,EST,72.32918775,5.893,47.0,19948.9,21.2,19.62635685,12.0,45.0,30.0,83.0,41.0
Moldova,2778,164,75,3,560,2143,212,689,19,11763,2916,Europe,MDA,46.49941213,5.529,39.070422535211264,2684.1,18.9,11.46955634,65.0,128.0,148.0,86.0,86.0
Greece,2408,7,121,0,577,1710,55,231,12,56944,5463,Europe,GRC,42.85918883,5.287000000000001,29.0,23558.1,24.9,21.65527208,102.0,150.0,123.0,152.0,21.0
Kuwait,2248,168,13,2,443,1792,50,526,3,0,0,Asia,KWT,51.26293989,6.021,39.070422535211264,33537.9,37.9,2.550472384,69.0,47.0,73.62616822429906,42.0,70.0
Hungary,2168,70,225,12,295,1648,82,224,23,52702,5455,Europe,HUN,64.57731754,5.757999999999999,27.0,16503.5,26.4,19.15772538,51.0,138.0,140.0,100.0,56.0
