Country,Total Cases,New Casesd,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Cases_per_1Mpop,Deaths_per_1Mpop,Total Tests,Tests_per_1Mpop ,Continent,CountryCode,Avg_LockdownSeverity,Score,Quality_Life,GDP_2018
Ghana,1154,112,9,,99,1046,4,37,0,68591,2207,Africa,GHA,31.57369025,4.996,64,1807.1
Guatemala,316,22,8,1,24,284,3,18,0,7200,402,North America,GTM,53.75677762,6.436,61,3160.01
Honduras,510,16,46,,30,434,10,51,5,2535,256,North America,HND,57.52052641,5.86,,2203.95
Hong Kong,1034,4,4,,678,352,8,138,1,131786,17579,Asia,HKG,63.92080933,5.43,,38784.8
Lebanon,682,5,22,1,113,547,26,100,3,22853,3348,Asia,LBN,63.76515621,5.197,78,6249.8
Jamaica,233,5,6,,27,200,,79,2,1936,654,North America,JAM,54.82797146,5.89,,4841.65
Jordan,435,7,7,,315,113,5,43,1,35000,3430,Asia,JOR,75.71499956,4.906,77,3236.9
Kenya,303,7,14,,74,215,2,6,0,14704,273,Africa,KEN,30.459425,4.509,,1202.1
Mauritius,329,1,9,,261,59,3,259,7,9755,7670,Africa,MUS,85.71399989,5.888,,10578.6
Mali,293,35,17,3,73,203,,14,1,2023,100,Africa,MLI,80.51545368,4.39,,777.9
Laos,19,,,,4,15,,3,,1461,201,Asia,LAO,64.1378125,4.796,,1789.1
Libya,59,,1,,15,43,,9,0,891,130,Africa,LBY,45.037682,5.525,,7529
Myanmar,123,2,5,,7,111,,2,0,5198,96,Asia,MMR,30.01754859,4.36,58,1571.9
Madagascar,121,,,,52,69,1,4,,2357,85,Africa,MDG,83.55030297,3.933,,432.7
Malawi,23,5,3,1,3,17,1,1,0,519,27,Africa,MWI,43.37456535,3.41,,516.8
Mozambique,41,2,,,8,33,,1,,1247,40,Africa,MOZ,50.45576991,4.466,,539.2
Mongolia,35,1,,,8,27,,11,,7130,2175,Asia,MNG,57.59415036,5.285,,4197.8
Mauritania,7,,1,,6,0,,2,0,969,208,Africa,MRT,28.15637658,4.49,,1349.4
Namibia,16,,,,6,10,,6,,524,206,Africa,NAM,42.08232478,4.639,,6073.2
Netherlands,34842,708,4054,138,,30538,1050,2033,237,171415,10004,Europe,NLD,66.87441063,7.488,8,55041.1
New Zealand,1451,6,14,1,1036,401,2,301,3,94797,19658,Australia/Oceania,NZL,47.11266659,7.307,9,38000.7
Nicaragua,10,,2,,7,1,,2,0,,,North America,NIC,11.36113174,6.105,,1860.43
Niger,662,5,22,2,193,447,,27,1,4832,200,Africa,NER,54.61468637,4.628,,398.5
Nigeria,782,,25,,197,560,2,4,0,8003,39,Africa,NGA,40.18922965,5.265,74,2396.3
